Dir,Time_Arr,Time_Mov,Time_Out,TIQ,TIS
NORTH,2475.042455,2565.206207,2605.496133,90.163752,130.453678
NORTH,2498.548435,2568.272844,2608.562770,69.724409,110.014334
SOUTH,2567.428336,2608.562770,2649.298418,41.134434,81.870083
SOUTH,2567.803592,2611.375188,2652.110836,43.571595,84.307244
SOUTH,2575.179324,2614.526361,2655.262010,39.347038,80.082686
NORTH,2599.098648,2655.262010,2697.776735,56.163361,98.678087
NORTH,2620.064876,2658.113614,2700.628339,38.048737,80.563463
SOUTH,2684.450463,2700.628339,2744.547678,16.177876,60.097215
NORTH,2681.063878,2744.547678,2787.128781,63.483800,106.064903
NORTH,2767.771556,2787.128781,2829.020166,19.357226,61.248610
SOUTH,2803.262937,2829.020166,2872.998254,25.757229,69.735317
NORTH,2815.170426,2872.998254,2915.423254,57.827828,100.252828
NORTH,2816.503385,2875.889226,2918.314227,59.385841,101.810842
NORTH,2833.838038,2878.513467,2920.938468,44.675429,87.100430
SOUTH,2834.950768,2920.938468,2961.482765,85.987700,126.531997
SOUTH,2841.363180,2924.062968,2964.607266,82.699788,123.244086
SOUTH,2844.015702,2927.461921,2968.006219,83.446219,123.990517
SOUTH,2870.486725,2930.370015,2970.914312,59.883290,100.427588
NORTH,2957.222571,2970.914312,3011.229111,13.691741,54.006540
NORTH,2986.362277,3011.229111,3053.232956,24.866834,66.870679
NORTH,2997.769184,3014.150846,3056.154692,16.381662,58.385507
SOUTH,3025.052583,3056.154692,3096.573100,31.102109,71.520518
NORTH,3086.030572,3096.573100,3138.101315,10.542528,52.070742
SOUTH,3087.765557,3138.101315,3182.945670,50.335757,95.180113
NORTH,3205.139587,3205.139587,3247.611129,0.000000,42.471541
NORTH,3219.149210,3247.611129,3289.131103,28.461918,69.981893
NORTH,3282.017540,3289.131103,3333.024197,7.113563,51.006657
NORTH,3352.466583,3352.466583,3393.595005,0.000000,41.128422
SOUTH,3368.668242,3393.595005,3435.070117,24.926763,66.401875
NORTH,3356.681529,3435.070117,3479.299982,78.388588,122.618454
SOUTH,3440.735345,3479.299982,3524.020433,38.564638,83.285088
SOUTH,3453.895997,3482.770135,3527.490586,28.874139,73.594589
SOUTH,3465.366204,3485.856884,3530.577335,20.490681,65.211131
NORTH,3451.762344,3530.577335,3574.295405,78.814991,122.533061
NORTH,3492.785299,3533.781214,3577.499284,40.995915,84.713985
NORTH,3498.659384,3536.607487,3580.325557,37.948103,81.666173
SOUTH,3510.667619,3580.325557,3622.604374,69.657938,111.936755
SOUTH,3563.726309,3583.623586,3625.902403,19.897276,62.176093
NORTH,3562.470116,3625.902403,3670.682975,63.432287,108.212859
NORTH,3623.645156,3628.575137,3673.355709,4.929982,49.710554
SOUTH,3642.058018,3673.355709,3714.496949,31.297691,72.438930
SOUTH,3778.325538,3778.325538,3821.500531,0.000000,43.174993
NORTH,3860.009969,3860.009969,3901.271299,0.000000,41.261330
SOUTH,3880.344914,3901.271299,3942.344788,20.926385,61.999873
SOUTH,3903.882647,3942.344788,3984.787184,38.462140,80.904536
SOUTH,3915.021899,3945.842010,3988.284407,30.820112,73.262508
SOUTH,3938.483946,3948.868760,3991.311156,10.384813,52.827210
NORTH,3958.243509,3991.311156,4034.500646,33.067647,76.257136
NORTH,3972.307686,3994.101509,4037.290999,21.793824,64.983313
NORTH,3978.604006,3997.518743,4040.708233,18.914738,62.104227
SOUTH,3963.954576,4040.708233,4082.467319,76.753656,118.512743
SOUTH,4024.659839,4044.044531,4085.803618,19.384693,61.143779
SOUTH,4029.012766,4046.786116,4088.545203,17.773350,59.532437
SOUTH,4046.170755,4048.717571,4090.476658,2.546815,44.305902
SOUTH,4076.273489,4090.476658,4130.618874,14.203169,54.345385
NORTH,4094.111592,4130.618874,4173.768842,36.507282,79.657250
