Dir,Time_Arr,Time_Mov,Time_Out,TIQ,TIS
SOUTH,2203.268582,2249.310312,2293.831629,46.041730,90.563047
SOUTH,2245.807480,2251.949293,2296.470610,6.141812,50.663130
NORTH,2218.805432,2296.470610,2341.188924,77.665178,122.383492
NORTH,2287.067734,2299.958738,2344.677053,12.891005,57.609319
SOUTH,2294.048486,2344.677053,2386.594073,50.628566,92.545586
NORTH,2372.833603,2386.594073,2427.255561,13.760470,54.421959
NORTH,2505.334214,2505.334214,2547.079110,0.000000,41.744896
SOUTH,2533.050497,2547.079110,2591.089394,14.028613,58.038897
NORTH,2563.612448,2591.089394,2635.368852,27.476946,71.756404
NORTH,2586.843268,2593.930958,2638.210415,7.087690,51.367148
NORTH,2603.309264,2638.210415,2679.801498,34.901152,76.492234
SOUTH,2668.063288,2679.801498,2724.369203,11.738210,56.305915
NORTH,2656.998065,2724.369203,2769.015494,67.371138,112.017429
SOUTH,2724.116378,2769.015494,2812.439213,44.899116,88.322835
SOUTH,2735.804921,2771.644434,2815.068153,35.839514,79.263233
NORTH,2729.518656,2815.068153,2856.257460,85.549498,126.738804
NORTH,2770.617925,2818.468083,2859.657390,47.850158,89.039464
SOUTH,2779.299600,2859.657390,2902.554359,80.357789,123.254759
SOUTH,2787.082630,2862.445301,2905.342271,75.362671,118.259640
SOUTH,2803.183928,2865.011069,2907.908038,61.827141,104.724110
SOUTH,2811.677258,2867.801818,2910.698788,56.124560,99.021530
SOUTH,2845.365957,2870.934955,2913.831925,25.568999,68.465968
SOUTH,2863.546696,2872.946259,2915.843229,9.399564,52.296533
NORTH,2854.633616,2915.843229,2956.790218,61.209613,102.156603
NORTH,2911.076164,2918.921311,2959.868300,7.845147,48.792136
NORTH,2916.898792,2919.075154,2960.022144,2.176363,43.123352
SOUTH,2892.811742,2960.022144,3002.202539,67.210401,109.390796
NORTH,2959.463471,3002.202539,3047.100302,42.739068,87.636831
SOUTH,2985.574326,3047.100302,3089.612738,61.525976,104.038412
NORTH,3077.235595,3089.612738,3129.812634,12.377143,52.577039
NORTH,3089.071822,3092.324079,3132.523975,3.252257,43.452153
SOUTH,3094.728884,3132.523975,3173.045231,37.795091,78.316347
SOUTH,3105.467112,3135.950181,3176.471437,30.483069,71.004325
NORTH,3122.718618,3176.471437,3217.437958,53.752819,94.719340
NORTH,3137.888614,3179.170204,3220.136726,41.281591,82.248112
NORTH,3139.347102,3182.107229,3223.073751,42.760127,83.726649
NORTH,3153.745958,3184.887359,3225.853880,31.141400,72.107922
NORTH,3165.214246,3187.999438,3228.965959,22.785192,63.751713
SOUTH,3138.150228,3228.965959,3273.237025,90.815731,135.086797
NORTH,3192.650585,3273.237025,3315.854139,80.586440,123.203555
NORTH,3204.359364,3275.836057,3318.453172,71.476693,114.093808
SOUTH,3244.097815,3318.453172,3362.687005,74.355357,118.589190
SOUTH,3386.026761,3386.026761,3428.080351,0.000000,42.053591
NORTH,3412.301992,3428.080351,3470.483226,15.778359,58.181234
SOUTH,3416.777491,3470.483226,3511.030575,53.705735,94.253084
SOUTH,3424.044335,3473.445795,3513.993144,49.401460,89.948809
SOUTH,3456.194510,3476.567389,3517.114739,20.372879,60.920229
SOUTH,3473.949985,3476.749927,3517.297277,2.799943,43.347292
NORTH,3437.892127,3517.297277,3559.991451,79.405150,122.099324
SOUTH,3553.168003,3559.991451,3604.170961,6.823448,51.002958
NORTH,3631.941333,3631.941333,3676.117028,0.000000,44.175695
SOUTH,3639.682545,3676.117028,3718.750470,36.434483,79.067925
NORTH,3636.789463,3718.750470,3759.338104,81.961007,122.548641
NORTH,3698.759166,3721.530935,3762.118569,22.771769,63.359403
SOUTH,3699.268091,3762.118569,3806.130380,62.850478,106.862289
SOUTH,3714.455809,3765.370942,3809.382752,50.915132,94.926943
NORTH,3871.752321,3871.752321,3915.863622,0.000000,44.111301
SOUTH,3888.132746,3915.863622,3958.794315,27.730876,70.661569
NORTH,3897.800225,3958.794315,4003.056683,60.994090,105.256458
NORTH,3916.577780,3961.333165,4005.595533,44.755385,89.017752
SOUTH,4005.422985,4005.595533,4046.580212,0.172547,41.157227
NORTH,4017.967190,4046.580212,4086.971765,28.613022,69.004575
NORTH,4021.494607,4049.482385,4089.873938,27.987778,68.379331
NORTH,4038.450845,4052.172546,4092.564099,13.721701,54.113254
NORTH,4066.231757,4092.564099,4133.909965,26.332342,67.678208
NORTH,4088.443408,4095.194870,4136.540737,6.751462,48.097328
NORTH,4168.168626,4168.168626,4209.729647,0.000000,41.561022
NORTH,4196.548892,4209.729647,4254.199694,13.180756,57.650802
NORTH,4207.615740,4212.489329,4256.959376,4.873590,49.343636
SOUTH,4270.476665,4270.476665,4310.939173,0.000000,40.462508
NORTH,4288.113583,4310.939173,4354.849205,22.825590,66.735622
NORTH,4290.352682,4314.029768,4357.939799,23.677086,67.587117
SOUTH,4297.267753,4357.939799,4399.856361,60.672046,102.588608
SOUTH,4305.046008,4361.273656,4403.190219,56.227648,98.144210
NORTH,4319.574444,4403.190219,4445.990139,83.615775,126.415695
NORTH,4357.502797,4406.305869,4449.105789,48.803072,91.602992
SOUTH,4453.447368,4453.447368,4498.338416,0.000000,44.891049
NORTH,4464.531289,4498.338416,4541.511121,33.807127,76.979831
NORTH,4467.303025,4501.277303,4544.450007,33.974279,77.146983
NORTH,4474.563937,4504.584090,4547.756795,30.020153,73.192858
NORTH,4555.637602,4555.637602,4598.904609,0.000000,43.267006
NORTH,4587.553146,4598.904609,4639.371237,11.351463,51.818091
NORTH,4654.715983,4654.715983,4698.051198,0.000000,43.335215
SOUTH,4670.075021,4698.051198,4742.373687,27.976177,72.298666
NORTH,4723.109942,4742.373687,4782.723277,19.263745,59.613334
SOUTH,4735.775025,4782.723277,4822.869308,46.948252,87.094283
SOUTH,4759.214522,4785.629386,4825.775417,26.414864,66.560895
SOUTH,4760.931631,4788.742656,4828.888687,27.811025,67.957056
NORTH,4838.158388,4838.158388,4878.338142,0.000000,40.179754
NORTH,4887.100764,4887.100764,4930.571481,0.000000,43.470717
NORTH,4902.287297,4930.571481,4974.860095,28.284185,72.572798
NORTH,4919.580960,4933.439840,4977.728453,13.858880,58.147494
NORTH,4987.148847,4987.148847,5031.777437,0.000000,44.628590
SOUTH,4987.856293,5031.777437,5075.329792,43.921144,87.473499
NORTH,4996.041723,5075.329792,5116.484917,79.288068,120.443194
SOUTH,5105.730967,5116.484917,5159.662352,10.753950,53.931385
NORTH,5128.240869,5159.662352,5202.415274,31.421482,74.174404
NORTH,5129.782695,5162.822192,5205.575115,33.039497,75.792420
SOUTH,5138.369800,5205.575115,5250.067439,67.205315,111.697639
SOUTH,5189.035440,5208.813602,5253.305926,19.778161,64.270486
NORTH,5169.374004,5253.305926,5298.199569,83.931923,128.825566
SOUTH,5255.952866,5298.199569,5340.158552,42.246703,84.205686
SOUTH,5280.013204,5301.221161,5343.180144,21.207957,63.166940
SOUTH,5291.764888,5304.421225,5346.380208,12.656337,54.615320
NORTH,5358.029602,5358.029602,5401.911403,0.000000,43.881802
SOUTH,5483.293344,5483.293344,5524.762200,0.000000,41.468856
NORTH,5483.509260,5524.762200,5565.145513,41.252941,81.636253
NORTH,5507.753188,5527.478363,5567.861675,19.725175,60.108487
NORTH,5561.437524,5567.861675,5611.481476,6.424151,50.043952
SOUTH,5619.372597,5619.372597,5663.268743,0.000000,43.896146
NORTH,5621.115492,5663.268743,5707.467632,42.153251,86.352140
SOUTH,5696.123945,5707.467632,5751.775167,11.343687,55.651222
NORTH,5727.794830,5751.775167,5792.322516,23.980337,64.527686
NORTH,5744.125262,5754.574554,5795.121903,10.449292,50.996641
NORTH,5753.717553,5754.669558,5795.216907,0.952005,41.499355
NORTH,5870.266034,5870.266034,5913.632836,0.000000,43.366802
SOUTH,5874.829498,5913.632836,5955.674371,38.803338,80.844874
SOUTH,5908.962069,5916.894791,5958.936327,7.932722,49.974258
NORTH,6009.730990,6009.730990,6050.042278,0.000000,40.311289
